Tanggal,Kurs Beli,Kurs Jual ,Kurs Tengah,Tanggal,IHSG,
3/14/2017,13293,13427,13360,3/21/2017,5543.092773,
3/15/2017,13308,13442,13375,3/22/2017,5534.092773,
3/16/2017,13269,13403,13336,3/23/2017,5563.758789,
3/17/2017,13275,13409,13342,3/24/2017,5567.133789,
3/20/2017,13262,13396,13329,3/27/2017,5541.202148,
3/21/2017,13241,13375,13308,3/29/2017,5592.509766,
3/22/2017,13268,13402,13335,3/30/2017,5592.952148,
3/23/2017,13265,13399,13332,3/31/2017,5568.105957,
3/24/2017,13262,13396,13329,4/3/2017,5606.789063,
3/27/2017,13247,13381,13314,4/4/2017,5651.823242,
3/29/2017,13256,13390,13323,4/5/2017,5676.97998,
3/30/2017,13249,13383,13316,4/6/2017,5680.23877,
3/31/2017,13254,13388,13321,4/7/2017,5653.48584,
4/3/2017,13257,13391,13324,4/10/2017,5644.298828,
4/4/2017,13259,13393,13326,4/11/2017,5627.933105,
4/5/2017,13262,13396,13329,4/12/2017,5644.154785,
4/6/2017,13260,13394,13327,4/13/2017,5616.544922,
4/7/2017,13274,13408,13341,4/17/2017,5577.486816,
4/10/2017,13256,13390,13323,4/18/2017,5606.51709,
4/11/2017,13216,13348,13282,4/20/2017,5595.306152,
4/12/2017,13232,13364,13298,4/21/2017,5664.475098,
4/13/2017,13198,13330,13264,4/25/2017,5680.795898,
4/17/2017,13189,13321,13255,4/26/2017,5726.529785,
4/18/2017,13233,13365,13299,4/27/2017,5707.027832,
4/19/2017,13233,13365,13299,4/28/2017,5685.297852,
4/20/2017,13261,13395,13328,5/2/2017,5675.808105,
4/21/2017,13253,13387,13320,5/3/2017,5647.368164,
4/25/2017,13230,13362,13296,5/4/2017,5669.442871,
4/26/2017,13212,13344,13278,5/5/2017,5683.376953,
4/27/2017,13233,13365,13299,5/8/2017,5707.861816,
4/28/2017,13260,13394,13327,5/9/2017,5697.056152,
5/2/2017,13249,13383,13316,5/10/2017,5653.007813,
5/3/2017,13231,13363,13297,5/12/2017,5675.21582,
5/4/2017,13263,13397,13330,5/15/2017,5688.870117,
5/5/2017,13272,13406,13339,5/16/2017,5646.999023,
5/8/2017,13257,13391,13324,5/17/2017,5615.492188,
5/9/2017,13250,13384,13317,5/18/2017,5645.451172,
5/10/2017,13288,13422,13355,5/19/2017,5791.883789,
5/12/2017,13273,13407,13340,5/22/2017,5749.444824,
5/15/2017,13252,13386,13319,5/23/2017,5730.612793,
5/16/2017,13232,13364,13298,5/24/2017,5703.433105,
5/17/2017,13239,13373,13306,5/26/2017,5716.814941,
5/18/2017,13276,13410,13343,5/29/2017,5712.331055,
5/19/2017,13343,13477,13410,5/30/2017,5693.391113,
5/22/2017,13231,13363,13297,,,
5/23/2017,13230,13362,13296,,,
5/24/2017,13249,13383,13316,,,
5/26/2017,13229,13361,13295,,,
5/29/2017,13245,13379,13312,,,
5/30/2017,13269,13403,13336,,,
5/31/2017,13254,13388,13321,,,
