Tanggal	Terakhir	Pembukaan	Tertinggi	Terendah	"Vol,"	Perubahan%
8/6/2023	"9,2"	"9,15"	"9,2"	"9,075"	"17,16M"	"0,55%"
7/6/2023	"9,15"	"9,225"	"9,25"	"9,075"	"28,36M"	"-0,54%"
6/6/2023	"9,2"	9	"9,25"	"8,925"	"41,12M"	"2,22%"
5/6/2023	9	"9,05"	"9,125"	9	"26,58M"	"-0,55%"
31/05/2023	"9,05"	"9,1"	"9,125"	"9,025"	"81,76M"	"0,28%"
30/05/2023	"9,025"	"9,025"	"9,1"	"8,975"	"23,26M"	"-0,28%"
29/05/2023	"9,05"	9	"9,05"	"8,95"	"13,75M"	"1,12%"
26/05/2023	"8,95"	9	"9,075"	"8,95"	"21,77M"	"-0,56%"
25/05/2023	9	"8,825"	"9,025"	"8,8"	"35,32M"	"1,98%"
24/05/2023	"8,825"	"8,9"	"8,95"	"8,8"	"61,86M"	"-1,40%"
23/05/2023	"8,95"	"8,825"	9	"8,825"	"48,45M"	"1,13%"
22/05/2023	"8,85"	"8,825"	"8,875"	"8,775"	"44,24M"	"0,28%"
19/05/2023	"8,825"	"8,8"	"8,9"	"8,75"	"43,53M"	"0,86%"
17/05/2023	"8,75"	"8,725"	"8,825"	"8,65"	"51,08M"	"0,00%"
16/05/2023	"8,75"	"8,95"	"8,975"	"8,7"	"54,16M"	"-1,69%"
15/05/2023	"8,9"	9	"9,025"	"8,85"	"35,48M"	"-1,11%"
12/5/2023	9	"9,125"	"9,15"	"8,975"	"23,67M"	"-1,64%"
11/5/2023	"9,15"	"9,15"	"9,15"	"9,05"	"19,35M"	"-0,54%"
10/5/2023	"9,2"	"9,225"	"9,275"	"9,175"	"17,75M"	"0,82%"
9/5/2023	"9,125"	"9,125"	"9,175"	"9,05"	"18,37M"	"-0,27%"
8/5/2023	"9,15"	"9,275"	"9,3"	"9,15"	"16,80M"	"-1,08%"
5/5/2023	"9,25"	"9,3"	"9,325"	"9,15"	"24,62M"	"-0,54%"
4/5/2023	"9,3"	"9,4"	"9,425"	"9,275"	"20,05M"	"-1,85%"
3/5/2023	"9,475"	"9,55"	"9,55"	"9,4"	"11,94M"	"-0,79%"
2/5/2023	"9,55"	"9,45"	"9,55"	"9,425"	"19,48M"	"1,33%"
28/04/2023	"9,425"	"9,575"	"9,575"	"9,425"	"23,07M"	"-0,79%"
27/04/2023	"9,5"	"9,55"	"9,6"	"9,475"	"15,35M"	"-0,78%"
26/04/2023	"9,575"	"9,55"	"9,575"	"9,425"	"46,61M"	"1,06%"
18/04/2023	"9,475"	"9,45"	"9,575"	"9,4"	"29,21M"	"0,26%"
17/04/2023	"9,45"	"9,425"	"9,45"	"9,375"	"14,27M"	"0,53%"
14/04/2023	"9,4"	"9,425"	"9,5"	"9,375"	"29,32M"	"0,27%"
13/04/2023	"9,375"	"9,45"	"9,45"	"9,35"	"24,72M"	"0,27%"
12/4/2023	"9,35"	"9,4"	"9,4"	"9,35"	"21,30M"	"-0,27%"
11/4/2023	"9,375"	"9,3"	"9,4"	"9,3"	"15,80M"	"0,54%"
10/4/2023	"9,325"	"9,35"	"9,375"	"9,25"	"16,50M"	"-0,53%"
6/4/2023	"9,375"	"9,325"	"9,375"	"9,325"	"23,23M"	"0,54%"
5/4/2023	"9,325"	"9,35"	"9,45"	"9,275"	"25,46M"	"-0,27%"
4/4/2023	"9,35"	"9,35"	"9,375"	"9,2"	"17,90M"	"0,00%"
3/4/2023	"9,35"	"9,35"	"9,4"	"9,275"	"13,30M"	"0,00%"
