Date,log_UNVR,log_Kurs,log_Inflasi,log_IHSG,log_MinyakBumi,log_Emas,Residual Regresi
8/1/2017,0.013968464,0.000586312,-0.006768363,0.00171566,-0.026226155,0.016332307,0.00857
9/1/2017,-0.013746715,0.004146659,-0.011520423,0.00271617,0.039020516,-0.011077929,-0.00702
10/1/2017,0.005507232,0.002892094,-0.016659913,0.007654844,0.022200742,-0.004811238,0.00697
11/1/2017,-0.002634757,-0.001154527,-0.035369087,-0.003896282,0.023472689,0.002175045,0.00261
12/1/2017,0.054564889,0.001314636,0.038993262,0.028486835,0.022268829,0.011012334,0.04338
1/1/2018,-0.011812908,-0.005736535,-0.045623841,0.016754271,0.029924886,0.011223379,-0.01703
2/1/2018,-0.004010135,0.011303469,-0.009456241,-0.000553277,-0.021242977,-0.008029175,-0.00269
3/1/2018,-0.036764281,0.000631701,0.029051797,-0.027741186,0.022649654,0.00313831,-0.0212
4/1/2018,-0.028774746,0.004708696,0.001275462,-0.013859572,0.023621865,-0.002613681,-0.01806
5/1/2018,-0.007084896,-0.000624884,-0.023551857,-0.000798382,-0.009800144,-0.004777765,-0.00517
6/1/2018,0.004736083,0.013392385,-0.015047928,-0.013590745,0.04377715,-0.017096957,0.0205
7/1/2018,-0.027714814,0.002720016,0.008272526,0.010155,-0.032775287,-0.009265115,-0.03208
8/1/2018,0.005983486,0.009240657,0.002722858,0.005959296,0.006519555,-0.009575048,0.0076
9/1/2018,0.030359207,0.005130965,-0.045757491,-0.003034821,0.020952206,-0.001730978,0.03579
10/1/2018,-0.036593802,0.00865732,0.040294595,-0.010659106,-0.049827945,0.006776185,-0.03688
11/1/2018,-0.009908289,-0.02650755,0.00951544,0.016403021,-0.108006008,0.003895679,-0.02762
12/1/2018,0.03122914,0.002271816,-0.013658185,0.009811785,-0.049822174,0.019274496,0.01917
1/1/2019,0.041914151,-0.012411447,-0.045295229,0.023104407,0.073550042,0.014559091,0.03765
2/1/2019,-0.011664044,0.002788915,-0.040315985,-0.005998941,0.026846309,-0.002912433,-0.00405
3/1/2019,0.004879765,0.005372151,-0.015481443,0.001708644,0.02161557,-0.00601727,0.00918
4/1/2019,-0.034174328,0.000304982,0.057334755,-0.000900573,0.026405394,-0.004282424,-0.02859
5/1/2019,-0.009651386,0.00076152,0.069351648,-0.016889741,-0.077215036,0.008391138,-0.01033
6/1/2019,0.004852503,-0.004435517,-0.00526424,0.010333501,0.038579312,0.032613193,-0.00118
7/1/2019,-0.013726025,-0.003488328,0.00526424,0.002171284,0.000816274,0.005532489,-0.01424
8/1/2019,0.049378079,0.005176102,0.021687343,-0.004236114,-0.026597768,0.026822607,0.04435
9/1/2019,-0.021411615,0.000306165,-0.012625729,-0.011076916,-0.008195229,-0.014376763,-0.0127
10/1/2019,-0.026723135,-0.004862819,-0.034655361,0.004149108,0.000882631,0.012213257,-0.02953
11/1/2019,-0.019553536,0.002099537,-0.018423083,-0.015364226,0.007863983,-0.012653763,-0.00765
12/1/2019,0.002073009,-0.006829647,-0.042552351,0.020302147,0.044053816,0.014788872,-0.00403
1/1/2020,-0.023912157,-0.007256815,-0.00643411,-0.025518737,-0.073443891,0.017941134,-0.0224
2/1/2020,-0.066264473,0.0214165,0.04608147,-0.037178497,-0.061422831,-0.006036538,-0.0532
3/1/2020,0.026235351,0.055638453,-0.002924553,-0.079658119,-0.339560126,0.00679884,0.02681
4/1/2020,0.057429996,-0.041192902,-0.04478045,0.016657146,-0.036249054,0.027508189,0.04196
5/1/2020,-0.0284663,-0.007386139,-0.086067147,0.003412917,0.275025101,0.014981051,-0.00329
6/1/2020,0.008325389,-0.011932333,-0.048188043,0.013649993,0.043954902,0.011993211,0.00577
7/1/2020,0.026652195,0.010589383,-0.104735351,0.021102485,0.010920728,0.040278801,0.01134
8/1/2020,-0.009143379,0.000895761,-0.06694679,0.007430093,0.024529905,-0.001599371,-0.00803
9/1/2020,-0.006650888,0.008272526,0.031714413,-0.031673591,-0.025069468,-0.017010512,0.01005
10/1/2020,-0.015000673,-0.006486528,0.006074148,0.022434967,-0.050680368,-0.003529565,-0.0279
11/1/2020,-0.005585858,-0.01603638,0.043034632,0.039182669,0.102719817,-0.024228371,-0.00572
12/1/2020,-0.021611149,-0.001543885,0.023912157,0.027483474,0.029439276,0.027072604,-0.03504
1/1/2021,-0.025867561,-0.000619094,-0.034977584,-0.008561894,0.031749711,-0.010857059,-0.01491
2/1/2021,0.004678262,0.006761976,-0.050452612,0.027238105,0.071204613,-0.029357524,0.00771
3/1/2021,-0.027202283,0.008456627,-0.003158519,-0.018207963,-0.01684695,-0.003550831,-0.01852
4/1/2021,-0.039744507,-0.002399423,0.015567777,0.000732213,0.031292358,0.013027445,-0.03807
5/1/2021,-0.010995384,-0.004991076,0.073020937,-0.00350257,0.018323994,0.032403728,-0.01291
6/1/2021,-0.072550667,0.006642103,-0.101457641,0.00276818,0.044465522,-0.031496726,-0.06093
